Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Fiyat Durumu,Price,Eşya Durumu,Müstakil mi,Dublex mi,Çatı katı mı,İlçe,Mahalle
95,110,4.0,25,5,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,79000.0,0,0,0,0, Beşiktaş,Kültür Mahallesi
190,220,5.0,4,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,95000.0,0,0,0,0, Maltepe,Altıntepe Mahallesi
60,65,2.0,7,2,4.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,26000.0,1,0,0,0, Şişli,Mecidiyeköy Mahallesi
80,85,3.0,7,5,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,13000.0,0,0,0,1, Başakşehir,Güvercintepe Mahallesi
75,80,3.0,17,5,6.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,25000.0,0,0,0,0, Pendik,Velibaba Mahallesi
125,165,3.0,0,6,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,37500.0,0,0,0,0, Kartal,Hürriyet Mahallesi
82,98,3.5,17,0,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Kat İrtifakı,Evet,1,0,Genel Fiyat,34000.0,0,0,0,0, Pendik,Yayalar Mahallesi
95,110,3.0,25,2,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,17500.0,0,0,0,0, Sultanbeyli,Mecidiye Mahallesi
110,130,4.0,13,2,3.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Sancaktepe,Safa Mahallesi
130,150,3.0,25,2,3.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,33000.0,0,0,0,0, Bahçelievler,Yenibosna Merkez Mahallesi
65,75,2.0,17,0,5.0,Kombi Doğalgaz,Boş,Hisseli Tapu,Hayır,1,0,Genel Fiyat,16000.0,0,0,0,0, Bahçelievler,Yenibosna Merkez Mahallesi
135,140,4.0,25,3,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,32000.0,0,0,0,0, Bahçelievler,Yenibosna Merkez Mahallesi
110,130,3.0,4,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Sancaktepe,Yenidoğan Mahallesi
100,120,1.0,13,0,6.0,Isıtma Yok,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,37000.0,0,0,0,0, Sultangazi,75. Yıl Mahallesi
85,100,3.0,7,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,22000.0,0,0,0,0, Ümraniye,Esenkent Mahallesi
70,90,2.0,17,0,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,13000.0,0,0,0,0, Ümraniye,Esenkent Mahallesi
90,100,3.0,25,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,25000.0,1,0,0,0, Fatih,Topkapı Mahallesi
120,140,4.5,25,3,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,55000.0,0,0,0,0, Beşiktaş,Mecidiye Mahallesi
70,90,3.0,25,2,3.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,0, Kartal,Gümüşpınar Mahallesi
90,100,3.0,25,1,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Ataşehir,İçerenköy Mahallesi
100,110,3.0,7,2,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,20000.0,0,0,0,0, Esenyurt,Mehterçeşme Mahallesi
90,100,3.0,25,2,14.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,29000.0,0,0,0,0, Ataşehir,İçerenköy Mahallesi
90,100,3.0,13,1,6.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,30000.0,1,0,0,0, Sultangazi,Yunus Emre Mahallesi
130,140,5.0,2,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,30000.0,0,0,0,0, Sultanbeyli,Mimar Sinan Mahallesi
70,90,3.0,4,8,12.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Evet,2,0,Genel Fiyat,30000.0,0,0,0,0, Sancaktepe,Eyüp Sultan Mahallesi
75,80,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,0, Esenyurt,Mehterçeşme Mahallesi
80,90,3.0,17,0,4.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,18000.0,0,0,0,0, Ümraniye,Atatürk Mahallesi
65,70,2.0,13,0,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,13000.0,0,0,0,0, Bahçelievler,Zafer Mahallesi
140,143,5.0,13,2,4.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,1,Genel Fiyat,24000.0,0,0,0,0, Tuzla,Mimar Sinan Mahallesi
68,77,3.0,7,2,7.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,28500.0,1,0,0,0, Kağıthane,Talatpaşa Mahallesi
65,75,2.0,13,0,6.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,18000.0,0,0,0,0, Kağıthane,Gürsel Mahallesi
70,75,2.0,25,4,5.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,1,1,Genel Fiyat,16000.0,0,0,0,0, Bayrampaşa,Muratpaşa Mahallesi
75,80,3.0,17,0,4.0,Doğalgaz Sobalı,Boş,Kooperatiften Tapu,Hayır,1,1,Genel Fiyat,15000.0,0,0,0,0, Ümraniye,Cemil Meriç Mahallesi
95,115,3.0,7,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,20000.0,0,0,0,0, Esenyurt,Mehterçeşme Mahallesi
90,100,3.0,7,1,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,26000.0,0,0,0,0, Beylikdüzü,Adnan Kahveci Mahallesi
65,75,2.0,7,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,40000.0,1,0,0,0, Ümraniye,Atatürk Mahallesi
75,95,3.0,7,2,7.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,38000.0,0,0,0,0, Çekmeköy,Soğukpınar Mahallesi
120,130,3.0,4,1,5.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,2,0,Genel Fiyat,25000.0,0,0,1,0, Sultangazi,Cebeci Mahallesi
135,160,4.0,25,4,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,45000.0,1,0,0,0, Beyoğlu,Sütlüce Mahallesi
100,120,3.0,25,3,6.0,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,90000.0,1,0,0,0, Beyoğlu,Pürtelaş Hasan Efendi Mahallesi
65,70,3.0,25,5,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,40000.0,1,0,0,0, Beyoğlu,Tomtom Mahallesi
100,110,3.0,7,1,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,2,0,Genel Fiyat,25000.0,0,0,0,0, Sultangazi,İsmetpaşa Mahallesi
70,80,3.0,17,0,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,2,0,Genel Fiyat,26000.0,0,0,0,0, Ümraniye,İstiklal Mahallesi
95,100,3.0,7,3,6.0,Kombi Doğalgaz,Boş,Tapu Kaydı Yok,Hayır,2,1,Genel Fiyat,15000.0,0,0,0,0, Esenyurt,Süleymaniye Mahallesi
120,130,4.0,25,4,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,37000.0,1,0,0,0, Küçükçekmece,Cennet Mahallesi
79,119,3.0,2,8,15.0,Yerden Isıtma,Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,65000.0,1,0,0,0, Bahçelievler,Bahçelievler Mahallesi
75,85,3.0,13,2,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Kağıthane,Çeliktepe Mahallesi
70,80,3.0,25,3,5.0,Kombi Doğalgaz,Boş,Hisseli Tapu,Hayır,1,1,Genel Fiyat,22000.0,0,0,0,0, Şişli,Mecidiyeköy Mahallesi
125,140,4.0,7,2,4.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,1,0,Genel Fiyat,33000.0,0,0,0,0, Ümraniye,Çamlık Mahallesi
60,65,3.0,17,2,9.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,20000.0,0,0,0,0, Başakşehir,Bahçeşehir 2. Kısım Mahallesi
75,85,3.0,2,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,17500.0,0,0,0,0, Başakşehir,Altınşehir Mahallesi
80,81,3.0,17,4,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,30000.0,1,0,0,0, Bayrampaşa,Kartaltepe Mahallesi
65,85,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,1,Genel Fiyat,17000.0,0,0,0,0, Çatalca,Ferhatpaşa Mahallesi
120,130,5.0,7,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,2,0,Genel Fiyat,20000.0,0,0,0,0, Sancaktepe,Akpınar Mahallesi
130,140,4.0,17,4,4.0,Kombi Doğalgaz,Boş,Kooperatiften Tapu,Hayır,2,1,Genel Fiyat,33000.0,0,0,0,0, Ümraniye,Armağanevler Mahallesi
80,85,2.0,25,1,4.0,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,1,Genel Fiyat,55000.0,0,0,0,0, Sarıyer,İstinye Mahallesi
